rank,smiles,canonical_smiles,qed,sa_score,mw,clogp,tpsa,hbd,hba,rotatable_bonds,ring_count,fraction_csp3,formal_charge,pains_alert,structural_alert,tox_flag_or_score,target_relevance_score,final_score,short_comment
1,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1OC,0.7361746107603588,1.9723281592535677,341.36700000000013,3.4078000000000017,74.73,1,7,6,3,0.2222222222222222,0,0,0,0,0.6122448979591837,0.6878805286521792,"Высокая близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
2,COc1cc2ncnc(Nc3c(Cl)ccc(O)c3Cl)c2cc1OC,COc1cc2ncnc(Nc3c(Cl)ccc(O)c3Cl)c2cc1OC,0.7127297909077974,2.3238603585250353,366.2040000000001,4.403000000000001,76.50000000000001,2,6,4,3,0.125,0,0,0,0,0.45,0.6161060802332992,"Высокая близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
3,COc1cc2ccnc(Nc3ccc(C)cc3)c2cc1OC,COc1cc2ccnc(Nc3ccc(C)cc3)c2cc1OC,0.7786289298912178,1.891173906637306,294.35400000000004,4.304020000000003,43.379999999999995,1,4,4,3,0.16666666666666666,0,0,0,0,0.3793103448275862,0.6143872859177731,"Высокая близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
4,COc1cc(CO)ccc1Oc1ccccc1,COc1cc(CO)ccc1Oc1ccccc1,0.8771092194977018,1.5370838502863968,230.263,2.979800000000001,38.69,1,3,4,2,0.14285714285714285,0,0,0,0,0.25806451612903225,0.598828500193916,"Умеренная близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
5,COc1cc2nc(-c3ccccc3C)nc(N)c2cc1OC,COc1cc2nc(-c3ccccc3C)nc(N)c2cc1OC,0.8031244097641128,1.9829169055738518,295.34200000000004,3.2046200000000002,70.26,1,5,3,3,0.17647058823529413,0,0,0,0,0.3064516129032258,0.5939603402306817,"Умеренная близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
6,COc1ccc(Nc2nccc3c2ncn3C)cc1,COc1ccc(Nc2nccc3c2ncn3C)cc1,0.7804448398568322,2.1378447477203224,254.29300000000003,2.7205000000000004,51.97,1,5,3,3,0.14285714285714285,0,0,0,0,0.29850746268656714,0.5808651050384241,"Умеренная близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
7,OC(c1ccccc1)c1cccc(CCN2CCOCC2)c1,OC(c1ccccc1)c1cccc(CCN2CCOCC2)c1,0.9207116610304064,2.339315422188955,297.398,2.6430000000000007,32.7,1,3,5,3,0.3684210526315789,0,0,0,0,0.24050632911392406,0.5806803173615382,"Умеренная близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
8,COc1ccc(Nc2ncc3c(n2)-c2ccccc2CC3)cc1,COc1ccc(Nc2ncc3c(n2)-c2ccccc2CC3)cc1,0.7943520497900475,2.0028827593991743,303.3650000000001,3.9944000000000015,47.04,1,4,3,4,0.15789473684210525,0,0,0,0,0.25333333333333335,0.5687551532344315,"Умеренная близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
9,OC(CCN1CCOCC1)c1ccccc1,OC(CCN1CCOCC1)c1ccccc1,0.8348299385099109,2.2371386166441223,221.29999999999998,1.4423000000000001,32.7,1,3,4,2,0.5384615384615384,0,0,0,0,0.2328767123287671,0.5610102190613532,"Умеренная близость к референсным лигандам EGFR; хороший QED; низкая SA, проще синтез; мало ротируемых связей."
10,COc1ccc(N2c3ccccc3C(CN(C)C)C2O)cc1C,COc1ccc(N2c3ccccc3C(CN(C)C)C2O)cc1C,0.9408127350028345,3.177973289124134,312.41300000000007,3.118920000000002,35.94,1,4,4,3,0.3684210526315789,0,0,0,0,0.20212765957446807,0.557072437128006,"Относительно низкая близость к референсу (остальные метрики сильнее); хороший QED; низкая SA, проще синтез; мало ротируемых связей."
